seed,vehicle,a,b,s0,T,v0,ov_width,ov_center,ov_k,dv_k
3,1,1.3124443467854312,1.8892330775605095,2.21700859665498,0.8513525891870581,25.87288851632457,6.480510553454151,17.990421829999736,0.08052927946388712,0.5508032546004983
3,2,1.1872714216738833,1.9000605316282075,2.087173653827565,0.9328801950142959,28.203620371073576,6.535938492095173,18.35990747384439,0.08556537956983085,0.5589630869870121
3,3,1.2532482815592987,1.9796894716750295,2.01968944321269,0.9985930944445542,31.604645087562076,5.412669492192852,18.5206147836692,0.10054323546074305,0.4991710554208548
3,4,1.3678840863042965,2.1730562782145246,2.0994466883877907,0.8860724401338417,26.634496819887705,5.590967238268479,17.45054567845633,0.10017840017290267,0.5845992909536255
3,5,1.3688879266800313,2.0414013941445543,1.8866656020572063,0.8071486210989368,24.617646915463325,6.477735970259327,18.51294203847611,0.08960788199548161,0.5068657009483307
3,6,1.137675593139151,1.8960741739674607,2.2048283284417893,0.804470001369761,24.85917682219811,6.501557611794474,16.519296924223788,0.09509097714901012,0.5544663574127802
3,7,1.162172863441456,1.8934292031793287,2.162812667743986,0.8099001400602724,24.922434425390144,5.733100318220156,17.030196613873557,0.0928653647224206,0.500689724290191
3,8,1.115440160990249,1.9782185962505345,2.108633359245458,0.9992967524466958,32.00551633377887,5.682184219459473,19.290462928976062,0.08925897034318471,0.4936250563528448
3,9,1.2322429530951908,1.858596965410394,1.9905151789209967,0.9088043406162827,27.162274971613463,5.900373631706582,16.50134577913855,0.0977126349450525,0.5643916225763946
3,10,1.10896286326357,1.8566617813006752,2.1642095292207904,0.9728918854566602,30.35925557985408,6.056802960381121,16.80475524286638,0.08292639424678946,0.5488388131092699
3,11,1.2370499673184134,2.006736828712372,2.1174811152436925,0.828727245555221,25.25321806578914,5.417616213609524,16.889665736277887,0.09709412952047278,0.5730749113855841
3,12,1.2947432142844282,1.8018700970147863,2.076956435071814,0.8482345357094457,25.63474717357261,6.485153479747606,17.91147155683565,0.08010870170669966,0.5883927521631656
3,13,1.1835461847943927,1.9921210555287616,2.19870812816285,0.9414671425645341,28.807428349810742,6.050018213305902,15.843220655220998,0.09792619974315643,0.6137147490292147
3,14,1.3028764705940392,1.93384458194616,2.0641594706180357,0.9854431908786685,30.835734527052395,6.39595365365893,15.970945077457056,0.09380152628931415,0.495098649902122
3,15,1.2772588452249054,2.099689578471522,1.9356514807292524,0.8655887126433945,25.876964087356267,5.612404222429911,17.833888015118518,0.08883174477407475,0.5673199988412326
3,16,1.1071945647131496,2.1184381870889624,2.025365395112214,0.8059694107659012,24.72085247947658,6.670022425593167,16.542089358623365,0.09370591734890037,0.5601606861903512
3,17,1.2676562263972646,2.0917246024907667,1.8542626768160657,0.978649848592699,29.799398104359625,6.361479322538466,18.775447792300593,0.08914395968400762,0.569884767336505
3,18,1.1777757340722397,2.090806598602359,1.8521947022689296,0.8548284482991668,25.529865557859694,5.774055164724425,19.27528381660308,0.09604806960337743,0.5556996880354981
3,19,1.2245303591030208,1.9393280595914857,2.108321419487754,0.9520737997823057,29.090603607737112,6.6458798116223345,18.337665709746908,0.08165039221146493,0.5575724951539867
3,20,1.1850575245313957,2.0807047062729285,2.136769617646943,0.8261352694155227,25.219458183358153,6.288736961711432,18.841384701388247,0.09017620046312987,0.5986492116405445
3,21,1.307941375493899,1.9231273586992725,2.2266072145682076,0.9421121019904293,28.900606751744352,6.490407963100181,17.528938627970355,0.09802417406278764,0.543665533361048
3,22,1.2321361153012218,2.03494105753706,2.1684662801799206,0.973746637710728,30.424230943725316,5.3455161204324515,16.039999596929537,0.0992346323575397,0.5546167763792077
3,23,1.147060321542489,1.9163874358711397,2.020925276765995,0.9490648490092892,28.74929960132854,5.360123819114431,17.738301020960083,0.08395926476144355,0.575207208897015
3,24,1.2633947054095533,1.9736696236464955,1.8030996173710712,0.8695672253705141,25.81325290164936,6.349541673911466,17.44695494874478,0.08464169453517977,0.4958133388641544
3,25,1.33409442935341,1.7895338867983708,1.9946591574157342,0.9489649863218829,28.68643836654544,5.718748463445684,18.419054006305426,0.09872666938675416,0.5410141420931249
3,26,1.191909059712854,1.8764842026484823,2.20540944682982,0.8221248988234114,25.207529295559606,6.024169486814273,16.419822493099822,0.08666317451624678,0.49748171713299255
3,27,1.1665873651796546,2.2263692509633124,2.1380567357616687,0.8597849288903759,25.98287223265265,5.505017890086634,16.823719713838333,0.08042844759945225,0.5021909058642564
3,28,1.2163913772666948,1.8706804180904355,1.9928452285059624,0.882629875443516,26.38851123283214,6.688251469906057,19.359860039397848,0.0946415521176199,0.48428057371750005
3,29,1.3809150949581293,2.0919092052547184,1.9785340935108255,0.9814778004119725,30.317189686795437,6.003961508651164,16.98188627508572,0.08815144735771253,0.511681249573334
